participant value inputMethod sliderType time
Oisin 2812 trackpad FinerSlider 11257
Oisin 1835 trackpad FinerSlider 10867
Oisin 3204 trackpad FinerSlider 7161
Oisin 2870 trackpad FinerSlider 7447
Oisin 1421 trackpad FinerSlider 7950
Oisin 3821 trackpad FinerSlider 22862
Oisin 2476 trackpad FinerSlider 22904
Oisin 411 trackpad FinerSlider 12937
Oisin 964 trackpad FinerSlider 8081
Oisin 1033 trackpad FinerSlider 26552
Oisin 2812 mouse rangeSlider 11575
Oisin 1835 mouse rangeSlider 5183
Oisin 3204 mouse rangeSlider 7104
Oisin 2870 mouse rangeSlider 8999
Oisin 1421 mouse rangeSlider 8519
Oisin 3821 mouse rangeSlider 12479
Oisin 2476 mouse rangeSlider 8927
Oisin 411 mouse rangeSlider 9112
Oisin 964 mouse rangeSlider 11840
Oisin 1033 mouse rangeSlider 7903
Oisin 2812 mouse FinerSlider 4536
Oisin 1835 mouse FinerSlider 10648
Oisin 3204 mouse FinerSlider 7816
Oisin 2870 mouse FinerSlider 6152
Oisin 1421 mouse FinerSlider 7840
Oisin 3821 mouse FinerSlider 19263
Oisin 2476 mouse FinerSlider 7591
Oisin 411 mouse FinerSlider 11543
Oisin 964 mouse FinerSlider 8392
Oisin 1033 mouse FinerSlider 5856
Oisin 2812 trackpad rangeSlider 6846
Oisin 1835 trackpad rangeSlider 6385
Oisin 3204 trackpad rangeSlider 31265
Oisin 2870 trackpad rangeSlider 18785
Oisin 1421 trackpad rangeSlider 7184
Oisin 3821 trackpad rangeSlider 14551
Oisin 2476 trackpad rangeSlider 11390
Oisin 411 trackpad rangeSlider 11925
Oisin 964 trackpad rangeSlider 12199
Oisin 1033 trackpad rangeSlider 5209
Andy 964 trackpad FinerSlider 10312
Andy 3204 trackpad FinerSlider 10364
Andy 2812 trackpad FinerSlider 9052
Andy 2476 trackpad FinerSlider 6437
Andy 1033 trackpad FinerSlider 10944
Andy 1421 trackpad FinerSlider 10238
Andy 1835 trackpad FinerSlider 6395
Andy 411 trackpad FinerSlider 10976
Andy 3821 trackpad FinerSlider 8329
Andy 2870 trackpad FinerSlider 8921
Andy 964 mouse rangeSlider 8376
Andy 3204 mouse rangeSlider 11116
Andy 2812 mouse rangeSlider 7639
Andy 2476 mouse rangeSlider 7337
Andy 1033 mouse rangeSlider 20137
Andy 1421 mouse rangeSlider 8383
Andy 1835 mouse rangeSlider 9801
Andy 411 mouse rangeSlider 9031
Andy 3821 mouse rangeSlider 7769
Andy 2870 mouse rangeSlider 9216
Andy 964 mouse FinerSlider 7288
Andy 3204 mouse FinerSlider 14272
Andy 2812 mouse FinerSlider 6536
Andy 2476 mouse FinerSlider 9376
Andy 1033 mouse FinerSlider 7304
Andy 1421 mouse FinerSlider 9912
Andy 1835 mouse FinerSlider 7376
Andy 411 mouse FinerSlider 9632
Andy 3821 mouse FinerSlider 8344
Andy 2870 mouse FinerSlider 9928
Andy 964 trackpad rangeSlider 10888
Andy 3204 trackpad rangeSlider 12588
Andy 2812 trackpad rangeSlider 11602
Andy 2476 trackpad rangeSlider 17670
Andy 1033 trackpad rangeSlider 12086
Andy 1421 trackpad rangeSlider 8107
Andy 1835 trackpad rangeSlider 9613
